symbol,open_time_utc,open,high,low,close,volume,quote_vol
AIOZUSDT,2024-01-03 10:00:00,0.1,0.1878,0.1,0.1809,9219983.18,1659361.248443
AIOZUSDT,2024-01-03 11:00:00,0.1809,0.1811,0.1633,0.1685,1158413.26,201612.655712
AIOZUSDT,2024-01-03 12:00:00,0.1685,0.172,0.1427,0.1615,686972.26,110390.544629
AIOZUSDT,2024-01-03 13:00:00,0.1615,0.183,0.1253,0.1581,1030924.39,158142.055877
AIOZUSDT,2024-01-03 14:00:00,0.1581,0.1581,0.143,0.1454,426658.39,65253.872061
AIOZUSDT,2024-01-03 15:00:00,0.1454,0.1509,0.1422,0.1497,426343.54,62486.716377
AIOZUSDT,2024-01-03 16:00:00,0.1497,0.159,0.1494,0.1556,274925.88,42198.012455
AIOZUSDT,2024-01-03 17:00:00,0.1556,0.1635,0.1525,0.1585,326393.96,52002.002241
AIOZUSDT,2024-01-03 18:00:00,0.1585,0.1599,0.1386,0.1408,257892.51,38547.021503
AIOZUSDT,2024-01-03 19:00:00,0.1408,0.1549,0.1403,0.1483,301586.81,44960.470453
AIOZUSDT,2024-01-03 20:00:00,0.1483,0.152,0.146,0.1515,122138.04,18168.35718
AIOZUSDT,2024-01-03 21:00:00,0.1515,0.1605,0.1508,0.1571,211460.2,33232.481658
AIOZUSDT,2024-01-03 22:00:00,0.1571,0.1626,0.1521,0.1622,82705.06,13025.271616
AIOZUSDT,2024-01-03 23:00:00,0.1622,0.1622,0.1536,0.1556,69495.58,10979.705965
AIOZUSDT,2024-01-04 00:00:00,0.1556,0.1573,0.1514,0.1544,63390.65,9833.488857
AIOZUSDT,2024-01-04 01:00:00,0.1544,0.1554,0.1511,0.1528,42818.29,6583.279637
AIOZUSDT,2024-01-04 02:00:00,0.1528,0.1542,0.1517,0.1542,27076.53,4143.958568
AIOZUSDT,2024-01-04 03:00:00,0.1542,0.1569,0.153,0.1562,36616.76,5669.393138
AIOZUSDT,2024-01-04 04:00:00,0.1562,0.157,0.1538,0.154,61978.98,9631.642724
AIOZUSDT,2024-01-04 05:00:00,0.154,0.166,0.1531,0.16,145417.44,22981.121428
AIOZUSDT,2024-01-04 06:00:00,0.16,0.16,0.1549,0.1555,114459.26,18042.051369
AIOZUSDT,2024-01-04 07:00:00,0.1555,0.1622,0.1545,0.1546,116427.75,18380.632234
AIOZUSDT,2024-01-04 08:00:00,0.1546,0.1571,0.1533,0.1539,663006.43,103030.641164
AIOZUSDT,2024-01-04 09:00:00,0.1539,0.1554,0.1532,0.1543,480378.08,73884.829426
AIOZUSDT,2024-01-04 10:00:00,0.1543,0.1545,0.1504,0.1513,204276.91,31189.779547
AIOZUSDT,2024-01-04 11:00:00,0.1513,0.1519,0.146,0.146,113899.36,16908.218258
AIOZUSDT,2024-01-04 12:00:00,0.146,0.1494,0.1459,0.1484,964045.32,143492.186006
AIOZUSDT,2024-01-04 13:00:00,0.1484,0.1501,0.1477,0.1501,201378.26,30062.153417
AIOZUSDT,2024-01-04 14:00:00,0.1501,0.1524,0.1489,0.1505,92659.57,13927.638972
AIOZUSDT,2024-01-04 15:00:00,0.1505,0.1538,0.1505,0.1532,537665.39,82046.036561
AIOZUSDT,2024-01-04 16:00:00,0.1532,0.1537,0.1495,0.1508,111693.53,16891.433937
AIOZUSDT,2024-01-04 17:00:00,0.1508,0.1534,0.1496,0.1531,366251.86,55929.674008
AIOZUSDT,2024-01-04 18:00:00,0.1531,0.1533,0.1501,0.1517,1449762.48,219112.55645
AIOZUSDT,2024-01-04 19:00:00,0.1517,0.1517,0.1492,0.1499,952177.89,143587.089847
AIOZUSDT,2024-01-04 20:00:00,0.1499,0.1512,0.1487,0.1504,63956.29,9578.907845
AIOZUSDT,2024-01-04 21:00:00,0.1504,0.1511,0.1492,0.15,29230.25,4395.679763
AIOZUSDT,2024-01-04 22:00:00,0.15,0.1511,0.1478,0.148,66844.26,9979.912708
AIOZUSDT,2024-01-04 23:00:00,0.148,0.1493,0.1463,0.1463,86705.19,12776.251573
