symbol,perp_symbol,perp_onboard_utc,spot_listing_utc,perp_minus_spot_hours
AIOZUSDT,AIOZUSDT,2024-06-13 08:16:01,2024-01-03 00:00:00,3896.3
XAIUSDT,XAIUSDT,2024-01-10 09:46:05,2024-01-09 00:00:00,33.8
ONDOUSDT,ONDOUSDT,2024-01-22 10:29:52,2024-01-18 00:00:00,106.5
SAROSUSDT,,,2024-01-19 00:00:00,
MANTAUSDT,MANTAUSDT,2024-01-18 11:02:58,2024-01-18 00:00:00,11.0
GTAIUSDT,,,2024-01-25 00:00:00,
DYMUSDT,DYMUSDT,2024-02-07 02:36:50,2024-02-06 00:00:00,26.6
ZETAUSDT,ZETAUSDT,2024-02-01 04:05:29,2024-02-01 00:00:00,4.1
JUPUSDT,JUPUSDT,2024-01-31 15:51:07,2024-01-31 00:00:00,15.9
MAVIAUSDT,MAVIAUSDT,2024-02-07 09:12:26,2024-02-06 00:00:00,33.2
ALTUSDT,ALTUSDT,2024-01-25 11:17:39,2024-02-19 00:00:00,-588.7
HTXUSDT,,,2024-02-19 00:00:00,
CSPRUSDT,,,2024-02-22 00:00:00,
STRKUSDT,STRKUSDT,2024-02-20 13:42:06,2024-02-20 00:00:00,13.7
CPOOLUSDT,,,2024-02-21 00:00:00,
PORTALUSDT,PORTALUSDT,2024-03-01 03:40:58,2024-02-29 00:00:00,27.7
SCAUSDT,,,2024-03-08 00:00:00,
AEVOUSDT,AEVOUSDT,2024-03-13 10:50:14,2024-03-13 00:00:00,10.8
BOMEUSDT,BOMEUSDT,2024-03-15 08:52:25,2024-03-16 00:00:00,-15.1
ZKJUSDT,,,2024-03-19 00:00:00,
ETHFIUSDT,ETHFIUSDT,2024-03-18 13:16:43,2024-03-18 00:00:00,13.3
NAKAUSDT,,,2024-03-22 00:00:00,
DEGENUSDT,,,2024-03-28 00:00:00,
ENAUSDT,ENAUSDT,2024-04-02 09:42:46,2024-04-02 00:00:00,9.7
WUSDT,WUSDT,2024-04-03 12:39:24,2024-04-03 00:00:00,12.7
ESEUSDT,,,2024-04-11 00:00:00,
TNSRUSDT,TNSRUSDT,2024-04-09 07:47:44,2024-04-09 00:00:00,7.8
PRCLUSDT,,,2024-04-16 00:00:00,
BRETTUSDT,BRETTUSDT,2024-04-26 08:17:24,2024-04-18 00:00:00,200.3
MEWUSDT,MEWUSDT,2024-04-23 09:15:41,2024-04-19 00:00:00,105.3
MERLUSDT,MERLUSDT,2024-04-19 11:02:21,2024-04-19 00:00:00,11.0
SAFEUSDT,SAFEUSDT,2024-04-29 09:24:49,2024-04-23 00:00:00,153.4
WIFUSDT,WIFUSDT,2024-01-11 09:31:44,2024-04-29 00:00:00,-2606.5
SVLUSDT,,,2024-04-29 00:00:00,
KMNOUSDT,KMNOUSDT,2024-10-09 08:52:41,2024-04-30 00:00:00,3896.9
ZENTUSDT,,,2024-04-30 00:00:00,
TAIUSDT,,,2024-05-02 00:00:00,
PONKEUSDT,,,2024-05-10 00:00:00,
BBUSDT,BBUSDT,2024-05-14 11:41:00,2024-05-13 00:00:00,35.7
CTAUSDT,,,2024-05-15 00:00:00,
NOTUSDT,NOTUSDT,2024-05-16 15:41:23,2024-05-16 00:00:00,15.7
DRIFTUSDT,DRIFTUSDT,2024-05-21 09:32:48,2024-05-16 00:00:00,129.5
SQDUSDT,SQDUSDT,2025-06-11 11:23:25,2024-05-17 00:00:00,9371.4
MOGUSDT,,,2024-06-04 00:00:00,
TAIKOUSDT,TAIKOUSDT,2024-06-05 14:17:35,2024-06-05 00:00:00,14.3
AURORAUSDT,,,2024-06-07 00:00:00,
IOUSDT,IOUSDT,2024-06-11 13:49:00,2024-06-11 00:00:00,13.8
ATHUSDT,ATHUSDT,2024-06-13 09:01:44,2024-06-12 00:00:00,33.0
COOKIEUSDT,COOKIEUSDT,2025-01-07 07:32:59,2024-06-13 00:00:00,4999.5
PIRATEUSDT,,,2024-06-13 00:00:00,
ZKUSDT,ZKUSDT,2024-06-20 02:08:00,2024-06-17 00:00:00,74.1
ZROUSDT,ZROUSDT,2024-06-20 13:54:06,2024-06-20 00:00:00,13.9
BLASTUSDT,BLASTUSDT,2024-06-27 09:25:10,2024-06-26 00:00:00,33.4
MOCAUSDT,MOCAUSDT,2024-07-12 09:57:42,2024-07-11 00:00:00,34.0
A8USDT,,,2024-07-17 00:00:00,
CLOUDUSDT,,,2024-07-18 00:00:00,
AVAILUSDT,,,2024-07-23 00:00:00,
L3USDT,,,2024-07-30 00:00:00,
RENDERUSDT,RENDERUSDT,2024-07-26 08:26:47,2024-07-31 00:00:00,-111.6
DOGSUSDT,,,2024-08-26 00:00:00,
ORDERUSDT,ORDERUSDT,2024-08-27 09:02:16,2024-08-26 00:00:00,33.0
SUNDOGUSDT,,,2024-09-11 00:00:00,
CATIUSDT,CATIUSDT,2024-09-09 08:15:12,2024-09-20 00:00:00,-255.7
HMSTRUSDT,HMSTRUSDT,2024-09-11 06:08:16,2024-09-26 00:00:00,-353.9
EIGENUSDT,EIGENUSDT,2024-08-06 03:43:33,2024-10-01 00:00:00,-1340.3
NAVXUSDT,,,2024-10-07 00:00:00,
BBSOLUSDT,,,2024-10-10 00:00:00,
CARVUSDT,CARVUSDT,2024-10-16 08:41:15,2024-10-10 00:00:00,152.7
DEEPUSDT,DEEPUSDT,2024-10-17 11:49:14,2024-10-14 00:00:00,83.8
PUFFERUSDT,PUFFERUSDT,2024-10-14 12:37:01,2024-10-14 00:00:00,12.6
DBRUSDT,DBRUSDT,2024-10-17 10:42:10,2024-10-17 00:00:00,10.7
SCRUSDT,SCRUSDT,2024-10-08 12:25:58,2024-10-22 00:00:00,-323.6
COOKUSDT,,,2024-10-29 00:00:00,
