symbol,listing_date_utc,first_day_quote_vol_usd
AIOZUSDT,2024-01-03 00:00:00,2510361.41617
XAIUSDT,2024-01-09 00:00:00,16362555.1290298
ONDOUSDT,2024-01-18 00:00:00,55047107.0476127
SAROSUSDT,2024-01-19 00:00:00,8349469.22678164
MANTAUSDT,2024-01-18 00:00:00,25567754.662205
GTAIUSDT,2024-01-25 00:00:00,9818360.914366
DYMUSDT,2024-02-06 00:00:00,22597325.490876
ZETAUSDT,2024-02-01 00:00:00,33744715.578021
JUPUSDT,2024-01-31 00:00:00,59518939.491427
MAVIAUSDT,2024-02-06 00:00:00,68236536.295613
ALTUSDT,2024-02-19 00:00:00,3668430.881091
HTXUSDT,2024-02-19 00:00:00,1598414.2670458672
CSPRUSDT,2024-02-22 00:00:00,1042896.4350645
STRKUSDT,2024-02-20 00:00:00,102123583.623602
CPOOLUSDT,2024-02-21 00:00:00,3701424.2375192
PORTALUSDT,2024-02-29 00:00:00,14584506.73541
SCAUSDT,2024-03-08 00:00:00,10475751.75134
AEVOUSDT,2024-03-13 00:00:00,23397600.43516
BOMEUSDT,2024-03-16 00:00:00,105411432.65013918
ZKJUSDT,2024-03-19 00:00:00,25841787.381897
ETHFIUSDT,2024-03-18 00:00:00,16710130.315083
NAKAUSDT,2024-03-22 00:00:00,5725855.180712
DEGENUSDT,2024-03-28 00:00:00,6646813.656883
ENAUSDT,2024-04-02 00:00:00,178041895.644825
WUSDT,2024-04-03 00:00:00,54432308.961094
ESEUSDT,2024-04-11 00:00:00,10654343.7412678
TNSRUSDT,2024-04-09 00:00:00,5489763.949567
PRCLUSDT,2024-04-16 00:00:00,16879280.576063
BRETTUSDT,2024-04-18 00:00:00,5409451.5115482
MEWUSDT,2024-04-19 00:00:00,4028963.91354573
MERLUSDT,2024-04-19 00:00:00,31115559.82152
SAFEUSDT,2024-04-23 00:00:00,8945396.708643
WIFUSDT,2024-04-29 00:00:00,2146164.513805
SVLUSDT,2024-04-29 00:00:00,1848521.53953571
KMNOUSDT,2024-04-30 00:00:00,4021520.3421862
ZENTUSDT,2024-04-30 00:00:00,1230868.2221276
TAIUSDT,2024-05-02 00:00:00,4302841.9735278
PONKEUSDT,2024-05-10 00:00:00,1514322.243159
BBUSDT,2024-05-13 00:00:00,5714823.458414
CTAUSDT,2024-05-15 00:00:00,3749631.8504844
NOTUSDT,2024-05-16 00:00:00,135672542.46294346
DRIFTUSDT,2024-05-16 00:00:00,6297087.848464
SQDUSDT,2024-05-17 00:00:00,7360791.3286634
MOGUSDT,2024-06-04 00:00:00,4900522.5076915305
TAIKOUSDT,2024-06-05 00:00:00,50610014.236225
AURORAUSDT,2024-06-07 00:00:00,4478169.158682
IOUSDT,2024-06-11 00:00:00,42117892.150715
ATHUSDT,2024-06-12 00:00:00,21618110.53813263
COOKIEUSDT,2024-06-13 00:00:00,8379096.5654974
PIRATEUSDT,2024-06-13 00:00:00,27175539.601499
ZKUSDT,2024-06-17 00:00:00,111431515.741487
ZROUSDT,2024-06-20 00:00:00,53949816.853293
BLASTUSDT,2024-06-26 00:00:00,36622990.6274686
MOCAUSDT,2024-07-11 00:00:00,12961789.262293
A8USDT,2024-07-17 00:00:00,13655267.642127
CLOUDUSDT,2024-07-18 00:00:00,1700881.76497
AVAILUSDT,2024-07-23 00:00:00,23836215.583781
L3USDT,2024-07-30 00:00:00,30349861.980287
RENDERUSDT,2024-07-31 00:00:00,2094540.519624
DOGSUSDT,2024-08-26 00:00:00,199021701.205652
ORDERUSDT,2024-08-26 00:00:00,14129350.188104
