date_utc,dvol_open,dvol_high,dvol_low,dvol_close
2021-03-24,82.63,95.94,80.52,95.04
2021-03-25,88.64,92.56,87.25,89.74
2021-03-26,83.69,85.01,81.69,84.52
2021-03-27,78.38,80.58,78.37,79.69
2021-03-28,80.71,80.76,78.2,79.07
2021-03-29,80.27,83.74,80.02,83.71
2021-03-30,82.64,86.36,82.64,85.08
2021-03-31,84.03,86.82,83.74,86.45
2021-04-01,81.94,82.68,81.2,82.38
2021-04-02,78.8,81.9,78.59,81.28
2021-04-03,81.48,82.23,80.59,81.29
2021-04-04,79.92,82.42,79.85,82.42
2021-04-05,79.23,81.51,78.73,80.22
2021-04-06,80.5,81.23,80.15,81.01
2021-04-07,79.94,80.57,78.36,78.78
2021-04-08,73.45,76.01,72.79,74.31
2021-04-09,76.41,77.54,75.8,77.07
2021-04-10,82.01,83.3,80.83,81.54
2021-04-11,80.33,82.67,79.38,82.61
2021-04-12,83.56,84.81,81.96,84.5
2021-04-13,87.4,88.65,85.73,88.64
2021-04-14,86.04,86.65,83.41,83.85
2021-04-15,77.36,78.6,76.12,77.08
2021-04-16,77.47,77.91,75.87,77.67
2021-04-17,76.93,76.95,72.89,74.43
2021-04-18,88.54,92.45,87.22,88.4
2021-04-19,84.03,84.96,82.29,83.2
2021-04-20,80.87,84.97,80.79,82.96
2021-04-21,80.59,83.55,80.11,83.0
2021-04-22,79.1,95.93,77.85,87.39
2021-04-23,91.61,93.38,88.95,89.31
2021-04-24,88.16,94.28,88.14,94.08
2021-04-25,92.32,95.78,92.04,93.46
2021-04-26,83.25,83.49,80.59,82.66
2021-04-27,77.99,79.92,74.21,77.53
2021-04-28,77.1,77.76,75.52,76.96
2021-04-29,77.01,80.62,75.8,80.2
2021-04-30,75.47,76.82,73.95,75.09
2021-05-01,74.26,76.32,73.82,76.15
2021-05-02,78.19,79.44,77.51,79.09
2021-05-03,76.43,82.3,76.25,81.79
2021-05-04,84.14,88.18,84.13,87.96
2021-05-05,85.0,85.34,83.51,84.39
2021-05-06,82.46,82.59,80.31,82.14
2021-05-07,79.24,81.81,78.3,80.56
2021-05-08,82.17,86.04,81.83,83.57
2021-05-09,85.0,86.08,83.75,86.05
2021-05-10,89.73,91.57,88.81,90.26
2021-05-11,87.27,87.69,84.91,86.27
2021-05-12,83.35,94.13,82.91,93.86
2021-05-13,92.35,94.63,89.19,92.9
2021-05-14,90.72,101.15,90.37,98.46
2021-05-15,100.08,103.82,98.87,102.85
2021-05-16,98.6,112.08,98.36,105.28
2021-05-17,132.08,132.15,120.73,123.02
2021-05-18,113.63,117.35,112.83,117.01
2021-05-19,128.79,144.63,115.28,124.83
2021-05-20,121.34,121.4,112.56,119.77
2021-05-21,114.14,145.01,112.2,139.98
2021-05-22,138.21,141.31,135.44,140.05
2021-05-23,146.15,167.83,146.13,156.2
2021-05-24,138.3,140.84,121.77,125.12
2021-05-25,129.74,131.69,128.44,129.11
2021-05-26,122.03,124.4,116.69,117.02
2021-05-27,113.63,113.81,106.59,107.26
2021-05-28,121.46,123.33,114.86,122.55
2021-05-29,120.78,129.82,120.78,129.3
2021-05-30,125.02,127.45,123.12,123.61
2021-05-31,113.36,113.52,106.4,106.47
2021-06-01,107.0,108.65,107.0,108.23
2021-06-02,106.4,106.71,101.89,103.17
2021-06-03,98.66,99.76,97.28,99.19
2021-06-04,105.56,107.61,101.87,102.91
2021-06-05,106.17,108.73,106.1,108.52
2021-06-06,105.67,106.85,104.86,105.93
2021-06-07,102.84,108.4,99.89,108.32
2021-06-08,109.48,117.07,109.1,111.04
2021-06-09,107.22,107.64,105.08,105.82
2021-06-10,100.64,100.92,99.21,99.46
2021-06-11,97.38,97.38,95.99,97.22
2021-06-12,98.84,99.42,98.25,99.39
2021-06-13,97.43,103.97,97.25,102.86
2021-06-14,99.63,102.23,96.73,98.88
2021-06-15,97.79,97.88,95.83,96.77
2021-06-16,95.48,96.6,92.97,95.25
2021-06-17,93.04,95.39,92.82,95.28
2021-06-18,94.83,99.86,94.27,94.73
2021-06-19,91.62,93.0,91.1,91.89
2021-06-20,98.17,100.71,95.0,95.63
2021-06-21,104.7,106.3,102.36,106.23
2021-06-22,109.24,117.76,106.71,107.01
2021-06-23,102.65,103.1,99.01,102.21
2021-06-24,99.9,101.39,99.21,100.99
2021-06-25,97.58,105.37,97.11,105.3
2021-06-26,106.55,108.0,105.36,106.7
2021-06-27,105.22,106.43,103.38,106.41
2021-06-28,106.94,107.13,103.85,104.3
2021-06-29,102.41,102.65,98.06,98.86
2021-06-30,102.84,106.36,100.65,104.51
2021-07-01,103.8,105.94,101.96,102.38
2021-07-02,102.41,102.63,98.72,99.23
2021-07-03,97.09,98.08,96.5,98.02
2021-07-04,96.3,96.87,95.77,95.89
2021-07-05,99.45,99.59,94.84,96.39
2021-07-06,95.2,96.09,95.05,95.74
2021-07-07,94.4,94.93,93.77,94.93
2021-07-08,94.89,95.05,93.22,94.43
2021-07-09,92.52,92.53,90.64,90.89
2021-07-10,89.78,90.7,89.23,90.57
2021-07-11,88.59,89.63,88.49,88.71
2021-07-12,89.27,91.18,89.27,90.51
2021-07-13,90.56,91.37,89.34,90.81
2021-07-14,88.82,89.36,86.64,86.97
2021-07-15,84.98,87.05,84.98,85.55
2021-07-16,85.06,85.36,82.37,82.59
2021-07-17,82.44,82.81,81.66,82.78
2021-07-18,82.21,83.58,82.1,83.52
2021-07-19,84.13,88.52,84.13,88.46
2021-07-20,91.11,91.73,90.65,91.49
2021-07-21,87.99,88.11,86.96,87.86
2021-07-22,86.21,86.42,84.31,84.64
2021-07-23,81.89,82.61,79.9,81.75
2021-07-24,79.72,82.38,79.57,81.31
2021-07-25,82.58,84.14,82.49,83.9
2021-07-26,87.22,89.74,85.38,87.68
2021-07-27,86.52,91.84,84.94,91.84
2021-07-28,93.39,96.55,92.96,95.68
2021-07-29,93.53,93.55,91.62,93.24
2021-07-30,89.3,94.19,86.32,93.49
2021-07-31,88.25,89.65,87.23,89.55
2021-08-01,87.72,89.34,87.33,89.3
2021-08-02,88.86,90.25,88.07,88.52
2021-08-03,88.87,91.4,88.7,89.04
2021-08-04,90.86,92.15,90.77,91.94
2021-08-05,91.96,96.61,91.65,96.09
2021-08-06,91.58,94.19,90.97,93.62
2021-08-07,95.43,97.27,94.19,97.27
2021-08-08,96.09,96.47,95.48,95.99
2021-08-09,104.57,107.37,104.11,106.97
2021-08-10,106.11,106.2,103.35,103.35
2021-08-11,101.75,102.62,100.33,100.53
2021-08-12,99.8,99.97,97.55,98.06
2021-08-13,94.64,100.95,94.47,100.3
2021-08-14,98.73,98.73,97.25,97.48
2021-08-15,97.41,98.69,96.85,98.69
2021-08-16,98.37,99.38,97.77,98.3
2021-08-17,97.29,97.63,95.22,96.68
2021-08-18,94.7,95.85,94.16,95.81
2021-08-19,95.23,95.6,93.15,94.5
2021-08-20,92.36,95.39,91.5,93.06
2021-08-21,93.19,93.38,92.36,92.71
2021-08-22,91.35,94.83,91.19,94.83
2021-08-23,93.41,94.31,93.32,93.64
2021-08-24,91.29,92.99,91.08,92.85
2021-08-25,92.04,93.78,91.59,93.62
2021-08-26,90.84,94.46,90.83,93.87
2021-08-27,90.18,91.37,87.96,90.92
2021-08-28,89.42,90.11,88.87,90.11
2021-08-29,89.75,90.69,89.53,90.6
2021-08-30,89.52,92.09,89.26,92.08
2021-08-31,92.22,92.36,90.89,91.08
2021-09-01,92.31,94.08,91.38,93.65
2021-09-02,94.31,94.58,92.82,92.82
2021-09-03,91.24,91.77,89.6,90.15
2021-09-04,90.49,91.5,90.27,91.3
2021-09-05,92.31,94.61,91.35,93.37
2021-09-06,91.75,92.9,91.05,92.86
2021-09-07,92.14,97.38,91.85,95.16
2021-09-08,95.07,95.2,90.89,92.31
2021-09-09,91.34,92.56,90.8,91.95
2021-09-10,89.67,92.11,89.09,90.57
2021-09-11,89.46,89.89,88.54,89.46
2021-09-12,88.23,92.3,87.79,92.13
2021-09-13,92.72,93.55,91.97,92.14
2021-09-14,91.59,91.84,90.53,90.9
2021-09-15,90.19,90.56,89.48,90.32
2021-09-16,85.95,86.18,84.03,84.17
2021-09-17,82.76,83.9,81.41,82.35
2021-09-18,83.19,85.27,83.08,84.7
2021-09-19,84.66,85.86,82.76,85.72
2021-09-20,89.9,92.4,89.7,91.76
2021-09-21,91.24,96.41,91.15,96.26
2021-09-22,93.19,93.23,88.51,88.73
2021-09-23,86.1,86.16,83.29,83.84
2021-09-24,90.55,90.72,86.58,86.92
2021-09-25,86.32,86.32,85.34,85.88
2021-09-26,85.28,89.49,83.43,89.12
2021-09-27,87.41,89.55,87.34,89.25
2021-09-28,89.62,93.27,89.62,92.27
2021-09-29,91.07,92.83,90.94,91.77
2021-09-30,91.57,91.97,89.95,90.97
2021-10-01,89.87,89.99,82.64,85.84
2021-10-02,82.45,84.36,81.68,83.97
2021-10-03,84.16,85.57,84.01,85.56
2021-10-04,85.93,89.94,85.75,89.62
2021-10-05,89.43,92.81,89.35,92.68
2021-10-06,89.98,91.63,88.61,89.38
2021-10-07,89.76,89.86,87.07,88.13
2021-10-08,87.47,89.01,87.16,88.19
2021-10-09,87.41,87.67,87.2,87.42
2021-10-10,87.42,89.92,87.16,89.23
2021-10-11,89.76,90.89,89.48,90.49
2021-10-12,89.85,94.07,89.83,93.37
2021-10-13,91.79,95.01,91.43,95.0
2021-10-14,91.87,98.29,91.45,97.87
2021-10-15,98.41,104.26,90.46,90.71
2021-10-16,89.18,89.23,85.6,86.8
2021-10-17,87.92,89.71,87.21,89.66
2021-10-18,91.12,92.4,90.71,92.4
2021-10-19,93.48,94.15,91.33,94.15
2021-10-20,93.89,95.23,93.0,93.04
2021-10-21,92.72,93.79,91.09,92.52
2021-10-22,86.67,87.57,85.19,86.73
2021-10-23,85.94,87.52,85.74,86.31
2021-10-24,87.59,90.23,87.59,89.88
2021-10-25,85.92,87.77,84.38,84.45
2021-10-26,86.11,89.13,85.29,89.01
2021-10-27,88.51,90.12,87.39,88.45
2021-10-28,86.22,89.87,86.14,89.87
2021-10-29,84.94,88.68,84.81,87.58
2021-10-30,87.63,87.86,86.51,87.17
2021-10-31,87.85,88.8,87.1,87.64
2021-11-01,87.11,88.18,84.77,85.45
2021-11-02,87.39,88.22,86.41,87.23
2021-11-03,84.91,86.03,84.41,85.84
2021-11-04,84.52,85.25,84.03,84.73
2021-11-05,83.98,86.93,83.87,85.71
2021-11-06,85.37,87.66,85.33,87.07
2021-11-07,86.5,87.45,86.2,86.59
2021-11-08,87.17,88.92,86.38,86.69
2021-11-09,85.67,86.0,84.33,84.68
2021-11-10,85.21,87.17,84.82,86.36
2021-11-11,84.1,85.66,84.05,85.23
2021-11-12,87.9,89.09,86.67,88.44
2021-11-13,87.03,87.85,85.25,87.74
2021-11-14,87.42,87.43,86.26,87.22
2021-11-15,85.31,85.86,84.6,85.04
2021-11-16,90.19,90.19,86.32,87.28
2021-11-17,86.69,90.05,86.37,89.88
2021-11-18,89.28,93.25,87.15,90.12
2021-11-19,86.58,87.7,85.73,85.78
2021-11-20,85.96,86.81,85.2,85.44
2021-11-21,83.96,86.91,83.83,85.94
2021-11-22,85.68,90.47,85.18,88.98
2021-11-23,86.77,90.19,86.41,89.91
2021-11-24,91.3,91.47,90.15,90.42
2021-11-25,88.2,88.3,86.05,86.52
2021-11-26,89.51,89.93,84.06,86.06
2021-11-27,84.7,85.04,83.03,83.72
2021-11-28,81.91,86.59,81.65,86.32
2021-11-29,83.61,83.85,81.95,82.85
2021-11-30,84.21,86.14,83.64,84.08
2021-12-01,83.97,84.24,81.56,83.64
2021-12-02,84.33,85.27,83.46,85.26
2021-12-03,81.68,85.51,81.65,84.55
2021-12-04,91.23,91.36,86.68,87.29
2021-12-05,87.8,90.56,87.21,89.39
2021-12-06,87.74,88.59,86.63,86.84
2021-12-07,87.78,88.62,85.76,86.0
2021-12-08,87.76,88.43,86.94,87.16
2021-12-09,89.46,90.52,88.82,90.3
2021-12-10,90.02,90.82,89.19,89.98
2021-12-11,90.95,91.18,88.47,88.72
2021-12-12,90.5,93.38,90.5,92.25
2021-12-13,91.26,91.58,89.52,90.29
2021-12-14,88.84,93.23,88.74,92.34
2021-12-15,90.02,91.9,89.19,89.34
2021-12-16,87.38,87.59,85.88,86.78
2021-12-17,84.76,86.62,84.57,85.34
2021-12-18,86.15,87.46,85.19,87.43
2021-12-19,84.61,87.83,84.58,87.83
2021-12-20,87.56,87.88,86.62,87.31
2021-12-21,87.14,87.68,85.06,86.04
2021-12-22,85.31,85.37,82.63,82.99
2021-12-23,82.7,83.5,80.96,82.99
2021-12-24,77.7,83.69,77.28,82.57
2021-12-25,78.71,81.08,78.64,81.08
2021-12-26,81.57,82.01,79.92,80.26
2021-12-27,78.65,83.39,78.62,83.29
2021-12-28,79.69,79.89,76.7,76.7
2021-12-29,78.24,80.9,78.06,80.73
2021-12-30,79.36,81.33,76.61,80.68
2021-12-31,76.95,76.95,74.65,75.51
2022-01-01,73.23,73.52,69.68,70.91
2022-01-02,69.97,72.67,69.07,72.06
2022-01-03,73.16,73.37,70.32,71.94
2022-01-04,72.31,73.49,70.83,72.52
2022-01-05,72.64,78.33,70.95,75.64
2022-01-06,74.62,74.89,72.22,73.19
