date_utc,dvol_open,dvol_high,dvol_low,dvol_close
2021-03-24,94.13,106.94,92.67,106.73
2021-03-25,105.01,105.78,102.0,105.39
2021-03-26,93.03,93.57,83.04,90.27
2021-03-27,86.21,87.53,85.89,87.46
2021-03-28,84.57,85.49,82.81,84.22
2021-03-29,85.58,89.34,84.25,88.24
2021-03-30,91.5,91.8,88.24,89.19
2021-03-31,86.78,95.85,86.36,93.88
2021-04-01,89.73,89.95,86.24,89.09
2021-04-02,89.63,95.56,89.39,94.81
2021-04-03,95.13,96.42,93.65,95.17
2021-04-04,90.74,94.07,90.67,93.72
2021-04-05,91.45,93.89,90.56,91.94
2021-04-06,92.69,93.22,91.77,92.31
2021-04-07,88.93,89.96,87.58,88.32
2021-04-08,84.38,86.88,83.8,86.21
2021-04-09,85.96,86.08,83.19,84.58
2021-04-10,91.62,91.94,89.99,90.53
2021-04-11,91.54,93.45,91.28,93.35
2021-04-12,96.8,97.45,96.38,96.81
2021-04-13,100.03,102.46,99.33,102.2
2021-04-14,97.93,98.04,92.85,94.57
2021-04-15,90.88,91.32,88.65,89.72
2021-04-16,87.77,88.75,84.97,85.47
2021-04-17,82.03,83.57,80.81,83.47
2021-04-18,98.27,99.72,96.52,97.12
2021-04-19,95.62,96.35,93.51,93.87
2021-04-20,93.92,96.37,92.51,94.36
2021-04-21,92.89,93.43,92.12,92.71
2021-04-22,93.43,97.21,83.47,91.92
2021-04-23,100.51,102.56,94.13,94.38
2021-04-24,97.48,101.12,97.45,100.44
2021-04-25,102.88,103.29,99.82,101.64
2021-04-26,93.79,93.91,89.71,91.39
2021-04-27,84.27,95.02,83.8,92.29
2021-04-28,90.64,91.96,87.58,88.95
2021-04-29,87.73,94.96,87.24,94.2
2021-04-30,95.02,96.63,93.68,95.97
2021-05-01,91.85,98.58,88.61,98.0
2021-05-02,91.73,97.33,91.62,95.95
2021-05-03,95.54,113.99,94.44,111.48
2021-05-04,114.82,123.27,113.94,116.77
2021-05-05,114.09,117.96,113.13,117.82
2021-05-06,115.34,117.14,114.26,115.85
2021-05-07,110.34,111.36,108.66,109.35
2021-05-08,110.09,115.3,109.99,113.49
2021-05-09,112.33,115.2,112.11,115.12
2021-05-10,120.7,125.78,119.9,124.28
2021-05-11,126.94,127.94,125.52,127.51
2021-05-12,124.28,135.1,124.15,132.93
2021-05-13,128.91,128.92,121.25,124.53
2021-05-14,122.63,125.42,120.46,125.3
2021-05-15,126.5,129.5,125.98,128.69
2021-05-16,124.07,135.15,122.62,129.27
2021-05-17,132.91,134.96,127.4,131.11
2021-05-18,127.45,129.42,126.68,129.27
2021-05-19,156.47,175.93,150.38,158.27
2021-05-20,178.13,189.1,172.22,181.68
2021-05-21,169.68,192.8,161.88,185.12
2021-05-22,196.89,197.07,186.0,186.76
2021-05-23,196.11,206.44,186.46,193.34
2021-05-24,181.25,184.8,162.52,165.51
2021-05-25,169.64,171.2,165.24,167.01
2021-05-26,168.37,170.41,161.42,162.34
2021-05-27,163.32,163.64,157.13,161.07
2021-05-28,172.26,172.56,160.26,170.2
2021-05-29,164.77,174.05,164.44,173.12
2021-05-30,163.52,166.36,155.15,156.16
2021-05-31,149.63,150.05,143.45,148.59
2021-06-01,148.97,150.99,148.68,149.88
2021-06-02,148.66,148.68,143.92,145.1
2021-06-03,140.07,140.97,138.74,140.76
2021-06-04,142.6,144.23,138.46,138.64
2021-06-05,138.45,141.05,138.16,140.87
2021-06-06,139.74,140.27,137.01,138.32
2021-06-07,134.1,138.46,131.64,138.24
2021-06-08,140.13,148.32,139.84,141.21
2021-06-09,137.38,137.79,133.1,133.27
2021-06-10,127.72,128.03,125.32,125.64
2021-06-11,122.55,123.37,120.74,122.64
2021-06-12,120.34,122.26,119.75,122.26
2021-06-13,121.06,123.77,120.14,123.11
2021-06-14,121.18,122.37,118.53,119.31
2021-06-15,113.75,113.81,110.31,110.35
2021-06-16,108.53,110.19,107.54,109.16
2021-06-17,105.49,107.19,105.28,106.66
2021-06-18,106.96,116.05,106.94,108.92
2021-06-19,103.36,103.91,101.81,103.76
2021-06-20,109.81,110.54,106.23,106.78
2021-06-21,121.89,124.62,119.77,124.43
2021-06-22,125.29,133.48,122.88,123.72
2021-06-23,119.98,120.26,116.58,118.16
2021-06-24,119.73,119.77,115.5,116.28
2021-06-25,116.52,119.02,115.68,118.58
2021-06-26,121.33,121.33,117.48,119.49
2021-06-27,116.14,117.59,114.94,117.59
2021-06-28,116.3,116.72,113.28,114.07
2021-06-29,113.28,113.53,109.38,109.67
2021-06-30,112.14,115.29,112.09,114.41
2021-07-01,111.65,115.18,111.65,113.77
2021-07-02,112.5,113.4,108.22,108.95
2021-07-03,106.99,108.15,106.3,107.32
2021-07-04,102.46,104.96,102.16,104.96
2021-07-05,105.99,106.09,101.34,102.79
2021-07-06,102.72,106.52,102.64,106.33
2021-07-07,104.53,105.92,104.17,105.5
2021-07-08,108.36,110.14,107.38,107.88
2021-07-09,105.79,106.29,102.63,103.92
2021-07-10,104.28,104.9,102.63,104.72
2021-07-11,102.6,103.83,101.81,103.6
2021-07-12,103.27,103.75,102.17,103.41
2021-07-13,101.97,106.23,101.85,105.3
2021-07-14,102.97,103.07,100.8,101.34
2021-07-15,101.5,102.33,101.02,101.7
2021-07-16,101.83,101.98,98.3,100.98
2021-07-17,101.97,102.42,99.54,100.89
2021-07-18,99.12,101.58,99.02,101.43
2021-07-19,101.67,107.35,101.48,106.48
2021-07-20,109.06,111.76,107.79,108.45
2021-07-21,109.18,109.89,107.17,108.34
2021-07-22,107.06,107.64,105.0,105.24
2021-07-23,99.98,103.07,99.12,101.97
2021-07-24,100.59,103.61,100.58,102.41
2021-07-25,100.42,105.11,100.4,103.05
2021-07-26,104.25,105.85,101.75,105.35
2021-07-27,104.31,108.38,100.98,108.34
2021-07-28,105.83,107.83,105.06,107.3
2021-07-29,106.07,107.3,105.69,106.81
2021-07-30,96.95,104.42,96.65,103.84
2021-07-31,100.95,102.36,98.15,102.22
2021-08-01,103.44,104.7,102.37,103.95
2021-08-02,102.01,105.18,101.92,102.98
2021-08-03,104.35,106.01,103.99,105.79
2021-08-04,107.87,110.07,107.82,109.75
2021-08-05,107.68,115.81,106.78,114.91
2021-08-06,107.64,112.9,105.77,111.07
2021-08-07,114.82,118.77,113.7,118.74
2021-08-08,114.13,116.09,113.39,115.71
2021-08-09,120.78,127.85,120.29,127.77
2021-08-10,126.43,127.79,120.86,121.58
2021-08-11,121.8,122.92,119.92,120.03
2021-08-12,118.77,118.85,113.59,115.36
2021-08-13,112.85,117.33,111.94,117.07
2021-08-14,112.98,113.14,112.05,112.41
2021-08-15,111.6,112.34,109.76,111.83
2021-08-16,113.56,114.08,111.92,111.98
2021-08-17,111.4,113.08,110.12,113.03
2021-08-18,111.9,113.04,111.53,112.93
2021-08-19,110.85,112.43,109.41,112.14
2021-08-20,108.58,112.48,108.53,110.2
2021-08-21,108.19,109.27,107.68,108.21
2021-08-22,105.11,107.39,104.46,107.13
2021-08-23,107.65,108.8,105.83,107.08
2021-08-24,105.16,108.7,105.09,106.13
2021-08-25,106.61,107.09,103.24,103.62
2021-08-26,102.98,104.19,101.43,102.92
2021-08-27,99.55,102.42,99.22,102.06
2021-08-28,99.07,99.4,97.31,98.27
2021-08-29,98.14,99.69,96.9,99.54
2021-08-30,98.58,103.82,97.86,103.79
2021-08-31,106.36,106.42,103.67,104.64
2021-09-01,108.11,113.64,107.36,113.63
2021-09-02,112.13,113.81,110.69,110.75
2021-09-03,108.43,109.4,105.81,106.48
2021-09-04,105.98,108.55,105.82,107.6
2021-09-05,107.97,110.08,107.61,109.21
2021-09-06,107.16,108.37,106.27,107.56
2021-09-07,105.63,113.93,105.38,110.41
2021-09-08,110.28,110.52,106.88,107.7
2021-09-09,105.64,108.09,105.29,106.28
2021-09-10,104.07,105.57,103.24,104.56
2021-09-11,105.69,105.72,104.44,105.08
2021-09-12,104.49,106.42,104.14,106.1
2021-09-13,105.29,107.14,105.07,106.25
2021-09-14,105.15,106.85,104.75,106.64
2021-09-15,105.83,106.0,103.34,103.59
2021-09-16,100.87,101.29,97.77,98.61
2021-09-17,98.48,99.59,97.58,98.52
2021-09-18,97.85,98.6,96.83,97.54
2021-09-19,97.69,97.83,95.16,96.98
2021-09-20,100.7,108.37,100.35,104.64
2021-09-21,103.69,111.66,103.61,111.21
2021-09-22,106.73,107.07,99.93,100.77
2021-09-23,99.01,99.2,97.19,97.82
2021-09-24,101.98,104.29,100.87,101.81
2021-09-25,100.29,100.76,99.03,100.44
2021-09-26,99.85,101.4,97.57,100.62
2021-09-27,100.04,104.75,99.95,104.71
2021-09-28,107.63,110.0,107.2,109.77
2021-09-29,104.21,105.92,103.65,104.62
2021-09-30,103.72,103.74,102.44,103.19
2021-10-01,102.25,102.55,93.71,96.12
2021-10-02,94.71,94.72,92.93,94.17
2021-10-03,94.72,97.13,94.43,96.24
2021-10-04,95.76,100.49,95.49,99.76
2021-10-05,99.41,103.32,98.74,100.91
2021-10-06,99.27,105.03,99.24,101.65
2021-10-07,100.39,104.55,99.41,101.57
2021-10-08,98.94,101.71,98.7,99.01
2021-10-09,97.37,101.56,96.66,97.63
2021-10-10,96.61,104.62,96.31,98.5
2021-10-11,98.09,102.6,97.88,98.99
2021-10-12,97.76,106.17,97.66,101.29
2021-10-13,99.61,104.22,98.05,101.07
2021-10-14,97.79,103.02,97.41,102.76
2021-10-15,102.68,114.71,100.29,100.71
2021-10-16,98.12,109.55,88.92,92.25
2021-10-17,94.73,113.15,94.62,97.8
2021-10-18,99.96,112.4,99.64,103.18
2021-10-19,102.28,119.96,100.54,103.74
2021-10-20,104.64,121.13,104.54,113.61
2021-10-21,111.02,135.15,109.12,110.13
2021-10-22,105.89,105.96,102.66,103.5
2021-10-23,103.01,104.1,102.86,103.74
2021-10-24,101.82,105.72,101.77,105.65
2021-10-25,102.02,104.21,101.69,103.1
2021-10-26,98.88,103.27,98.86,103.18
2021-10-27,106.5,109.02,104.99,109.02
2021-10-28,106.85,110.48,106.53,110.39
2021-10-29,103.69,108.75,103.47,107.13
2021-10-30,105.11,107.71,104.71,107.37
2021-10-31,107.55,109.2,107.43,108.41
2021-11-01,107.96,108.91,106.31,107.67
2021-11-02,109.22,112.04,108.29,111.84
2021-11-03,110.24,110.98,108.33,109.19
2021-11-04,107.54,107.95,106.83,107.17
2021-11-05,103.97,105.11,103.58,103.82
2021-11-06,102.25,106.66,102.19,106.48
2021-11-07,104.9,106.21,103.69,104.02
2021-11-08,104.79,106.44,104.09,105.13
2021-11-09,102.78,105.15,102.03,104.51
2021-11-10,103.82,105.83,102.68,105.05
2021-11-11,104.19,104.8,102.74,103.92
2021-11-12,103.68,108.08,102.34,107.06
2021-11-13,105.08,106.3,104.26,105.93
2021-11-14,102.22,103.72,101.46,103.24
2021-11-15,101.09,103.51,100.71,102.78
2021-11-16,108.17,110.7,105.86,110.64
2021-11-17,107.09,110.06,106.74,109.74
2021-11-18,108.29,114.52,107.91,112.49
2021-11-19,108.78,109.14,106.45,106.59
2021-11-20,106.75,107.16,105.56,106.77
2021-11-21,104.56,106.75,103.89,106.26
2021-11-22,105.32,113.21,105.21,112.04
2021-11-23,108.73,111.37,107.93,110.9
2021-11-24,109.57,110.9,108.88,109.53
2021-11-25,106.42,107.15,104.8,106.62
2021-11-26,113.2,113.53,105.28,107.26
2021-11-27,103.1,105.3,102.87,103.51
2021-11-28,103.78,106.47,102.91,105.58
2021-11-29,104.43,104.82,103.59,104.75
2021-11-30,107.02,109.82,105.07,105.95
2021-12-01,105.35,107.14,104.3,106.36
2021-12-02,107.93,108.23,106.23,106.91
2021-12-03,100.74,108.08,100.69,106.88
2021-12-04,110.09,110.39,105.64,106.71
2021-12-05,109.67,110.55,108.44,109.05
2021-12-06,110.41,110.44,106.52,107.38
2021-12-07,107.01,107.78,106.48,106.56
2021-12-08,108.55,109.03,106.6,107.08
2021-12-09,109.22,111.37,108.65,109.56
2021-12-10,108.47,112.23,108.11,112.23
2021-12-11,110.27,110.29,108.42,108.69
2021-12-12,111.29,112.58,110.65,112.55
2021-12-13,112.98,114.09,112.0,112.45
2021-12-14,109.66,112.53,109.29,110.34
2021-12-15,109.74,112.27,108.96,109.05
2021-12-16,103.32,103.82,101.49,103.39
2021-12-17,101.28,104.4,100.09,100.11
2021-12-18,100.72,101.0,99.4,100.48
2021-12-19,99.79,102.54,99.11,102.47
2021-12-20,104.57,105.01,101.52,102.37
2021-12-21,101.09,102.63,100.19,102.21
2021-12-22,101.2,101.53,99.68,99.7
2021-12-23,98.96,99.09,93.75,93.93
2021-12-24,89.53,94.52,89.03,94.03
2021-12-25,90.86,92.87,85.66,91.73
2021-12-26,88.42,90.22,83.47,88.58
2021-12-27,88.2,92.26,82.77,92.17
2021-12-28,88.42,90.06,88.0,88.8
2021-12-29,87.67,93.37,87.66,93.37
2021-12-30,88.46,92.63,87.71,92.62
2021-12-31,81.54,85.13,81.27,83.1
2022-01-01,79.76,83.48,78.75,79.38
2022-01-02,78.88,81.01,78.07,80.9
2022-01-03,80.43,80.61,79.38,80.04
2022-01-04,78.03,79.36,76.56,79.12
2022-01-05,79.67,89.56,79.29,85.44
2022-01-06,85.8,86.09,80.64,80.89
2022-01-07,82.65,85.24,82.43,84.85
2022-01-08,81.93,85.87,79.37,83.21
2022-01-09,83.65,84.54,82.84,84.36
2022-01-10,84.68,88.84,84.62,85.77
2022-01-11,87.3,87.39,82.08,82.17
2022-01-12,82.09,83.17,79.39,79.85
2022-01-13,76.25,76.56,75.04,75.5
2022-01-14,73.99,74.11,71.33,72.08
2022-01-15,69.53,71.35,69.28,70.72
2022-01-16,70.44,72.72,68.45,71.8
2022-01-17,71.66,73.62,71.62,72.74
2022-01-18,72.49,74.85,72.39,73.93
2022-01-19,74.07,74.07,72.37,73.75
2022-01-20,70.46,74.66,68.36,74.66
2022-01-21,73.87,95.6,73.75,92.74
2022-01-22,97.09,98.07,90.14,95.29
2022-01-23,91.75,94.1,91.01,91.8
2022-01-24,104.83,109.67,89.35,94.78
2022-01-25,89.09,96.85,89.08,91.84
2022-01-26,88.13,97.52,87.73,95.83
2022-01-27,94.71,97.76,93.36,97.76
2022-01-28,92.59,93.76,84.33,84.96
2022-01-29,84.48,84.82,83.37,83.81
2022-01-30,82.25,84.76,81.18,83.79
2022-01-31,83.25,84.52,81.92,82.83
2022-02-01,82.42,84.55,81.58,84.44
2022-02-02,82.7,87.46,82.66,87.39
2022-02-03,86.46,88.16,84.69,88.01
2022-02-04,81.23,83.33,80.98,82.3
2022-02-05,77.26,81.97,77.06,80.06
2022-02-06,79.27,81.66,79.18,81.46
2022-02-07,81.67,82.01,80.14,80.86
2022-02-08,80.64,82.23,80.29,81.16
2022-02-09,80.15,81.95,79.81,81.95
2022-02-10,78.68,82.44,78.42,82.44
2022-02-11,78.34,86.68,77.04,85.14
2022-02-12,85.5,86.45,82.34,82.55
2022-02-13,80.79,86.11,80.33,85.9
2022-02-14,84.17,84.18,80.6,82.13
2022-02-15,78.95,79.88,78.34,78.42
2022-02-16,77.82,79.34,75.26,75.26
2022-02-17,77.02,84.61,76.27,82.73
2022-02-18,77.3,79.66,76.46,78.27
2022-02-19,77.35,78.41,76.46,76.89
2022-02-20,82.88,95.06,82.38,92.7
2022-02-21,88.77,95.84,86.13,95.26
2022-02-22,95.0,95.12,89.7,89.93
2022-02-23,86.55,90.32,85.41,90.24
2022-02-24,103.24,104.08,92.86,93.77
2022-02-25,84.46,84.82,82.71,83.64
2022-02-26,82.07,82.51,80.73,82.21
2022-02-27,82.59,94.33,81.68,92.48
2022-02-28,89.37,90.45,85.67,85.85
2022-03-01,84.31,86.11,83.27,86.01
2022-03-02,82.12,84.34,81.32,81.6
2022-03-03,80.37,85.67,80.07,84.11
2022-03-04,81.86,89.54,81.8,88.4
2022-03-05,84.61,85.29,84.49,85.13
2022-03-06,84.53,87.73,83.96,87.73
2022-03-07,86.36,92.6,85.13,92.58
2022-03-08,90.35,91.04,89.6,90.62
2022-03-09,86.56,90.48,86.41,89.59
2022-03-10,90.75,91.78,88.71,88.79
2022-03-11,86.27,91.38,85.45,91.27
2022-03-12,90.42,90.65,89.62,90.33
2022-03-13,89.34,92.6,89.34,92.24
2022-03-14,88.4,92.08,88.23,91.01
2022-03-15,96.28,96.6,91.09,91.59
2022-03-16,91.33,91.67,87.12,87.32
2022-03-17,84.9,84.9,82.72,83.11
2022-03-18,79.83,80.41,77.27,78.88
2022-03-19,75.4,80.19,75.39,80.18
2022-03-20,80.03,82.35,79.77,81.87
2022-03-21,81.99,82.66,80.61,82.66
2022-03-22,82.77,82.8,80.43,80.85
2022-03-23,79.55,79.88,77.5,77.7
2022-03-24,76.23,76.49,75.42,76.06
2022-03-25,73.69,74.14,70.71,70.71
2022-03-26,68.85,71.36,68.57,71.33
2022-03-27,70.42,72.32,70.35,71.65
2022-03-28,69.21,72.67,69.2,72.6
2022-03-29,71.25,71.76,70.91,71.14
