symbol,open_time_utc,open,high,low,close,volume,quote_vol
AIUSDT,2024-01-04 10:00:00,0.03000000,2.58000000,0.03000000,1.14719000,89897761.00000000,125687606.28272000
AIUSDT,2024-01-04 11:00:00,1.14671000,1.22000000,1.08700000,1.09020000,27121828.00000000,31439368.47457000
AIUSDT,2024-01-04 12:00:00,1.09023000,1.21399000,1.05500000,1.21297000,17537552.00000000,19968314.78678000
AIUSDT,2024-01-04 13:00:00,1.21296000,1.21379000,1.13200000,1.15109000,8685121.00000000,10123421.53960000
AIUSDT,2024-01-04 14:00:00,1.15108000,1.16995000,1.07796000,1.12209000,6901944.00000000,7767599.23553000
AIUSDT,2024-01-04 15:00:00,1.12315000,1.15000000,1.09000000,1.10160000,6499338.00000000,7223025.11438000
AIUSDT,2024-01-04 16:00:00,1.10161000,1.15252000,1.09500000,1.11747000,5907954.00000000,6647646.23635000
AIUSDT,2024-01-04 17:00:00,1.11745000,1.16900000,1.10011000,1.13418000,4187306.00000000,4759912.55315000
AIUSDT,2024-01-04 18:00:00,1.13375000,1.17000000,1.13000000,1.16000000,3130392.00000000,3605399.60669000
AIUSDT,2024-01-04 19:00:00,1.16020000,1.35000000,1.14822000,1.30981000,18335017.00000000,23262148.69585000
AIUSDT,2024-01-04 20:00:00,1.30999000,1.36271000,1.26200000,1.27805000,11310532.00000000,14829006.69392000
AIUSDT,2024-01-04 21:00:00,1.27801000,1.29700000,1.19434000,1.24511000,6787139.00000000,8449251.43094000
AIUSDT,2024-01-04 22:00:00,1.24469000,1.27649000,1.15500000,1.19098000,4249356.00000000,5133685.04745000
AIUSDT,2024-01-04 23:00:00,1.19084000,1.26660000,1.16002000,1.23994000,4373618.00000000,5346884.63380000
AIUSDT,2024-01-05 00:00:00,1.23899000,1.26660000,1.13503000,1.13760000,4559773.00000000,5453220.34436000
AIUSDT,2024-01-05 01:00:00,1.13828000,1.21488000,1.10605000,1.13472000,4569879.00000000,5257269.03508000
AIUSDT,2024-01-05 02:00:00,1.13476000,1.14180000,1.10536000,1.11344000,2399113.00000000,2695548.25545000
AIUSDT,2024-01-05 03:00:00,1.11409000,1.14980000,1.10400000,1.12303000,2208262.00000000,2484978.98987000
AIUSDT,2024-01-05 04:00:00,1.12303000,1.14748000,1.03000000,1.08009000,5373060.00000000,5828880.15596000
AIUSDT,2024-01-05 05:00:00,1.08014000,1.11900000,1.05400000,1.07321000,2659695.00000000,2882273.43271000
AIUSDT,2024-01-05 06:00:00,1.07280000,1.16800000,1.06000000,1.15215000,4156147.00000000,4687874.57903000
AIUSDT,2024-01-05 07:00:00,1.15261000,1.19020000,1.10250000,1.16600000,3523451.00000000,4053763.92821000
AIUSDT,2024-01-05 08:00:00,1.16632000,1.27721000,1.11000000,1.27444000,11121532.00000000,13429437.45269000
AIUSDT,2024-01-05 09:00:00,1.27300000,1.36980000,1.23100000,1.36938000,18092569.00000000,23558322.25462000
