symbol,perp_symbol,perp_onboard_utc,spot_listing_utc,perp_minus_spot_hours
AIUSDT,AIUSDT,2024-01-08 12:30:00,2024-01-04 00:00:00,108.5
XAIUSDT,XAIUSDT,2024-01-09 14:00:00,2024-01-09 00:00:00,14.0
MANTAUSDT,MANTAUSDT,2024-01-18 14:00:00,2024-01-18 00:00:00,14.0
ALTUSDT,ALTUSDT,2024-01-25 14:00:00,2024-01-25 00:00:00,14.0
PYTHUSDT,PYTHUSDT,2023-11-22 14:30:00,2024-02-02 00:00:00,-1713.5
RONINUSDT,RONINUSDT,2024-02-06 04:30:00,2024-02-05 00:00:00,28.5
DYMUSDT,DYMUSDT,2024-02-07 07:00:00,2024-02-06 00:00:00,31.0
PIXELUSDT,PIXELUSDT,2024-02-19 15:00:00,2024-02-19 00:00:00,15.0
STRKUSDT,STRKUSDT,2024-02-20 17:00:00,2024-02-20 00:00:00,17.0
PORTALUSDT,PORTALUSDT,2024-02-29 15:00:00,2024-02-29 00:00:00,15.0
AXLUSDT,AXLUSDT,2024-03-01 15:30:00,2024-03-01 00:00:00,15.5
WIFUSDT,WIFUSDT,2024-01-18 14:15:00,2024-03-05 00:00:00,-1113.8
METISUSDT,METISUSDT,2024-03-12 08:30:00,2024-03-11 00:00:00,32.5
AEVOUSDT,AEVOUSDT,2024-03-13 13:30:00,2024-03-13 00:00:00,13.5
BOMEUSDT,BOMEUSDT,2024-03-16 12:30:00,2024-03-16 00:00:00,12.5
ETHFIUSDT,ETHFIUSDT,2024-03-18 15:30:00,2024-03-18 00:00:00,15.5
ENAUSDT,ENAUSDT,2024-04-02 12:30:00,2024-04-02 00:00:00,12.5
WUSDT,WUSDT,2024-04-03 15:30:00,2024-04-03 00:00:00,15.5
TNSRUSDT,TNSRUSDT,2024-04-08 17:00:00,2024-04-08 00:00:00,17.0
SAGAUSDT,SAGAUSDT,2024-04-09 10:30:00,2024-04-09 00:00:00,10.5
TAOUSDT,TAOUSDT,2024-04-11 14:30:00,2024-04-11 00:00:00,14.5
REZUSDT,REZUSDT,2024-04-30 14:00:00,2024-04-30 00:00:00,14.0
BBUSDT,BBUSDT,2024-05-13 12:30:00,2024-05-13 00:00:00,12.5
NOTUSDT,NOTUSDT,2024-05-16 14:00:00,2024-05-16 00:00:00,14.0
IOUSDT,IOUSDT,2024-06-11 14:00:00,2024-06-11 00:00:00,14.0
ZKUSDT,ZKUSDT,2024-06-17 11:00:00,2024-06-17 00:00:00,11.0
LISTAUSDT,LISTAUSDT,2024-06-20 12:30:00,2024-06-20 00:00:00,12.5
ZROUSDT,ZROUSDT,2024-06-20 14:30:00,2024-06-20 00:00:00,14.5
GUSDT,GUSDT,2024-08-15 12:30:00,2024-07-19 00:00:00,660.5
BANANAUSDT,BANANAUSDT,2024-08-15 02:00:00,2024-07-20 00:00:00,626.0
RENDERUSDT,RENDERUSDT,2024-07-26 10:00:00,2024-07-26 00:00:00,10.0
DOGSUSDT,DOGSUSDT,2024-08-26 12:30:00,2024-08-26 00:00:00,12.5
EURIUSDT,,,2024-08-28 00:00:00,
POLUSDT,POLUSDT,2024-09-13 12:15:00,2024-09-13 00:00:00,12.2
NEIROUSDT,NEIROUSDT,2024-09-16 11:30:00,2024-09-16 00:00:00,11.5
TURBOUSDT,TURBOUSDT,2024-05-30 15:30:00,2024-09-16 00:00:00,-2600.5
1MBABYDOGEUSDT,1MBABYDOGEUSDT,2024-09-16 11:35:00,2024-09-16 00:00:00,11.6
CATIUSDT,CATIUSDT,2024-09-20 11:30:00,2024-09-20 00:00:00,11.5
HMSTRUSDT,HMSTRUSDT,2024-09-26 12:30:00,2024-09-26 00:00:00,12.5
EIGENUSDT,EIGENUSDT,2024-10-01 06:00:00,2024-10-01 00:00:00,6.0
SCRUSDT,SCRUSDT,2024-10-22 10:00:00,2024-10-11 00:00:00,274.0
BNSOLUSDT,,,2024-10-17 00:00:00,
LUMIAUSDT,LUMIAUSDT,2024-12-18 11:30:00,2024-10-18 00:00:00,1475.5
KAIAUSDT,KAIAUSDT,2024-12-04 14:00:00,2024-10-31 00:00:00,830.0
COWUSDT,COWUSDT,2024-11-06 13:30:00,2024-11-06 00:00:00,13.5
CETUSUSDT,CETUSUSDT,2024-11-06 14:00:00,2024-11-06 00:00:00,14.0
PNUTUSDT,PNUTUSDT,2024-11-11 12:30:00,2024-11-11 00:00:00,12.5
ACTUSDT,ACTUSDT,2024-11-11 12:15:00,2024-11-11 00:00:00,12.2
USUALUSDT,USUALUSDT,2024-12-18 13:00:00,2024-11-19 00:00:00,709.0
THEUSDT,THEUSDT,2024-11-27 12:15:00,2024-11-27 00:00:00,12.2
ACXUSDT,ACXUSDT,2024-12-06 15:00:00,2024-12-06 00:00:00,15.0
ORCAUSDT,ORCAUSDT,2024-12-06 15:00:00,2024-12-06 00:00:00,15.0
MOVEUSDT,MOVEUSDT,2024-12-09 14:00:00,2024-12-09 00:00:00,14.0
MEUSDT,MEUSDT,2024-12-10 17:00:00,2024-12-10 00:00:00,17.0
VELODROMEUSDT,VELODROMEUSDT,2024-12-13 16:15:00,2024-12-13 00:00:00,16.2
VANAUSDT,VANAUSDT,2024-12-16 13:30:00,2024-12-16 00:00:00,13.5
1000CATUSDT,1000CATUSDT,2024-10-21 12:30:00,2024-12-17 00:00:00,-1355.5
PENGUUSDT,PENGUUSDT,2024-12-17 16:15:00,2024-12-17 00:00:00,16.2
BIOUSDT,BIOUSDT,2025-01-03 12:15:00,2025-01-03 00:00:00,12.2
AIXBTUSDT,AIXBTUSDT,2024-12-20 18:30:00,2025-01-10 00:00:00,-485.5
CGPTUSDT,CGPTUSDT,2024-12-20 19:15:00,2025-01-10 00:00:00,-484.8
COOKIEUSDT,COOKIEUSDT,2025-01-07 11:30:00,2025-01-10 00:00:00,-60.5
SUSDT,SUSDT,2025-01-16 10:00:00,2025-01-16 00:00:00,10.0
SOLVUSDT,SOLVUSDT,2025-01-17 12:15:00,2025-01-17 00:00:00,12.2
TRUMPUSDT,TRUMPUSDT,2025-01-18 13:00:00,2025-01-19 00:00:00,-11.0
ANIMEUSDT,ANIMEUSDT,2025-01-23 17:00:00,2025-01-23 00:00:00,17.0
BERAUSDT,BERAUSDT,2025-02-06 15:00:00,2025-02-06 00:00:00,15.0
1000CHEEMSUSDT,1000CHEEMSUSDT,2024-11-25 11:45:00,2025-02-09 00:00:00,-1812.2
TSTUSDT,TSTUSDT,2025-02-09 13:00:00,2025-02-09 00:00:00,13.0
LAYERUSDT,LAYERUSDT,2025-02-11 15:45:00,2025-02-11 00:00:00,15.8
HEIUSDT,HEIUSDT,2025-02-13 09:00:00,2025-02-13 00:00:00,9.0
KAITOUSDT,KAITOUSDT,2025-02-20 13:00:00,2025-02-20 00:00:00,13.0
SHELLUSDT,SHELLUSDT,2025-02-17 17:15:00,2025-02-27 00:00:00,-222.8
GPSUSDT,GPSUSDT,2025-02-17 17:00:00,2025-03-04 00:00:00,-343.0
