symbol,listing_date_utc,first_day_quote_vol_usd
AIUSDT,2024-01-04 00:00:00,274243270.33173
XAIUSDT,2024-01-09 00:00:00,226580522.12701
MANTAUSDT,2024-01-18 00:00:00,496832448.660924
ALTUSDT,2024-01-25 00:00:00,429580892.67827
PYTHUSDT,2024-02-02 00:00:00,58813860.49798
RONINUSDT,2024-02-05 00:00:00,34319808.60033
DYMUSDT,2024-02-06 00:00:00,202501412.818
PIXELUSDT,2024-02-19 00:00:00,797906751.55963
STRKUSDT,2024-02-20 00:00:00,519391694.65927
PORTALUSDT,2024-02-29 00:00:00,378706634.56696
AXLUSDT,2024-03-01 00:00:00,70325219.514768
WIFUSDT,2024-03-05 00:00:00,195812129.587943
METISUSDT,2024-03-11 00:00:00,84432078.42908
AEVOUSDT,2024-03-13 00:00:00,433095206.3625
BOMEUSDT,2024-03-16 00:00:00,989628184.158339
ETHFIUSDT,2024-03-18 00:00:00,241523110.1918
ENAUSDT,2024-04-02 00:00:00,1071118927.27685
WUSDT,2024-04-03 00:00:00,545705759.2435
TNSRUSDT,2024-04-08 00:00:00,249463650.24776
SAGAUSDT,2024-04-09 00:00:00,1105627020.47586
TAOUSDT,2024-04-11 00:00:00,174282874.82509
REZUSDT,2024-04-30 00:00:00,190813002.57482
BBUSDT,2024-05-13 00:00:00,325318822.22909
NOTUSDT,2024-05-16 00:00:00,452262356.359091
IOUSDT,2024-06-11 00:00:00,440644923.49059
ZKUSDT,2024-06-17 00:00:00,377910005.96276
LISTAUSDT,2024-06-20 00:00:00,253446950.21751
ZROUSDT,2024-06-20 00:00:00,151388906.37085
GUSDT,2024-07-19 00:00:00,63275546.21858
BANANAUSDT,2024-07-20 00:00:00,106527539.35622
RENDERUSDT,2024-07-26 00:00:00,27965733.1509
DOGSUSDT,2024-08-26 00:00:00,453570505.0438698
EURIUSDT,2024-08-28 00:00:00,5651678.36715
POLUSDT,2024-09-13 00:00:00,50127181.19635
NEIROUSDT,2024-09-16 00:00:00,214231360.0028607
TURBOUSDT,2024-09-16 00:00:00,27029079.563524
1MBABYDOGEUSDT,2024-09-16 00:00:00,89999611.5321175
CATIUSDT,2024-09-20 00:00:00,461757187.31368
HMSTRUSDT,2024-09-26 00:00:00,371317580.127317
EIGENUSDT,2024-10-01 00:00:00,430883902.30792
SCRUSDT,2024-10-11 00:00:00,41874463.9196
BNSOLUSDT,2024-10-17 00:00:00,2817049.0924
LUMIAUSDT,2024-10-18 00:00:00,88025549.62476
KAIAUSDT,2024-10-31 00:00:00,57115586.48893
COWUSDT,2024-11-06 00:00:00,211097320.0369
CETUSUSDT,2024-11-06 00:00:00,97230777.48446
PNUTUSDT,2024-11-11 00:00:00,230867530.47784
ACTUSDT,2024-11-11 00:00:00,478782327.92678
USUALUSDT,2024-11-19 00:00:00,138827104.1078
THEUSDT,2024-11-27 00:00:00,1329253175.16725
ACXUSDT,2024-12-06 00:00:00,365200001.5445
ORCAUSDT,2024-12-06 00:00:00,136689086.19353
MOVEUSDT,2024-12-09 00:00:00,625600472.32423
MEUSDT,2024-12-10 00:00:00,454300952.7594
VELODROMEUSDT,2024-12-13 00:00:00,181749999.32017
VANAUSDT,2024-12-16 00:00:00,808011072.7374
1000CATUSDT,2024-12-17 00:00:00,231879411.335976
PENGUUSDT,2024-12-17 00:00:00,510559404.405589
BIOUSDT,2025-01-03 00:00:00,591607008.27191
AIXBTUSDT,2025-01-10 00:00:00,53429407.2353
CGPTUSDT,2025-01-10 00:00:00,123224067.98658
COOKIEUSDT,2025-01-10 00:00:00,40428736.81553
SUSDT,2025-01-16 00:00:00,74880130.19998
SOLVUSDT,2025-01-17 00:00:00,308225426.9796
TRUMPUSDT,2025-01-19 00:00:00,8849748911.88167
ANIMEUSDT,2025-01-23 00:00:00,245299323.77582
BERAUSDT,2025-02-06 00:00:00,886182293.589224
1000CHEEMSUSDT,2025-02-09 00:00:00,53397604.985304
TSTUSDT,2025-02-09 00:00:00,520991778.20203
LAYERUSDT,2025-02-11 00:00:00,341266345.504035
HEIUSDT,2025-02-13 00:00:00,133404396.74425
KAITOUSDT,2025-02-20 00:00:00,477506294.35513
SHELLUSDT,2025-02-27 00:00:00,214319995.76396
GPSUSDT,2025-03-04 00:00:00,100160116.43884
EPICUSDT,2025-03-13 00:00:00,34395481.762
BMTUSDT,2025-03-18 00:00:00,101536509.2665
FORMUSDT,2025-03-19 00:00:00,30447120.35848
XUSDUSDT,2025-03-19 00:00:00,4440190.7893
NILUSDT,2025-03-24 00:00:00,168357581.3959
PARTIUSDT,2025-03-25 00:00:00,170643336.16788
MUBARAKUSDT,2025-03-27 00:00:00,15796753.14648
TUTUSDT,2025-03-27 00:00:00,24696770.55506
BROCCOLI714USDT,2025-03-27 00:00:00,6369562.48042
BANANAS31USDT,2025-03-27 00:00:00,5331743.294486
GUNUSDT,2025-03-31 00:00:00,198052043.46839
BABYUSDT,2025-04-10 00:00:00,122443123.29069
ONDOUSDT,2025-04-11 00:00:00,17965044.48501
BIGTIMEUSDT,2025-04-11 00:00:00,6462649.99514
VIRTUALUSDT,2025-04-11 00:00:00,9446644.05937
KERNELUSDT,2025-04-14 00:00:00,121930661.38871
WCTUSDT,2025-04-15 00:00:00,80095289.62211
HYPERUSDT,2025-04-22 00:00:00,77003161.41303
INITUSDT,2025-04-24 00:00:00,250152111.38075
SIGNUSDT,2025-04-28 00:00:00,108395484.92363
STOUSDT,2025-05-02 00:00:00,70714385.08449
KMNOUSDT,2025-05-06 00:00:00,10579950.20007
SXTUSDT,2025-05-08 00:00:00,79036692.25194
NXPCUSDT,2025-05-15 00:00:00,466187464.31783
AWEUSDT,2025-05-21 00:00:00,8201680.546
HAEDALUSDT,2025-05-21 00:00:00,70608537.52003
HUMAUSDT,2025-05-26 00:00:00,113149865.88865
AUSDT,2025-05-28 00:00:00,18865161.05188
SOPHUSDT,2025-05-28 00:00:00,123755085.58662
RESOLVUSDT,2025-06-11 00:00:00,51681601.14211
HOMEUSDT,2025-06-12 00:00:00,31945596.4137
SPKUSDT,2025-06-17 00:00:00,128676700.214787
NEWTUSDT,2025-06-24 00:00:00,202858292.84213
SAHARAUSDT,2025-06-26 00:00:00,181993141.73373
LAUSDT,2025-07-09 00:00:00,40928498.1216
ERAUSDT,2025-07-17 00:00:00,393179207.93945
CUSDT,2025-07-18 00:00:00,122603590.69893
TREEUSDT,2025-07-29 00:00:00,131544228.11126
TOWNSUSDT,2025-08-05 00:00:00,130450887.71333
PROVEUSDT,2025-08-05 00:00:00,128833009.75099
BFUSDUSDT,2025-08-13 00:00:00,7960951.9788
PLUMEUSDT,2025-08-18 00:00:00,50382122.13844
DOLOUSDT,2025-08-27 00:00:00,39565930.2335
MITOUSDT,2025-08-29 00:00:00,36075257.4787
WLFIUSDT,2025-09-01 00:00:00,996450099.59235
SOMIUSDT,2025-09-02 00:00:00,118435168.98892
OPENUSDT,2025-09-08 00:00:00,344821359.79366
USDEUSDT,2025-09-09 00:00:00,8721241.1936
LINEAUSDT,2025-09-10 00:00:00,239364108.72128
HOLOUSDT,2025-09-11 00:00:00,174966579.30258
PUMPUSDT,2025-09-11 00:00:00,59452624.583311
AVNTUSDT,2025-09-15 00:00:00,263115869.31061
ZKCUSDT,2025-09-15 00:00:00,265571152.78252
SKYUSDT,2025-09-17 00:00:00,37490121.50569
BARDUSDT,2025-09-18 00:00:00,182310419.67672
0GUSDT,2025-09-22 00:00:00,343688450.6841
HEMIUSDT,2025-09-23 00:00:00,177880872.12271
XPLUSDT,2025-09-25 00:00:00,1620965061.83351
MIRAUSDT,2025-09-26 00:00:00,482547178.25426
FFUSDT,2025-09-29 00:00:00,425775755.590055
EDENUSDT,2025-09-30 00:00:00,244891501.86925
NOMUSDT,2025-10-01 00:00:00,38729467.85842
2ZUSDT,2025-10-02 00:00:00,298331548.15465
MORPHOUSDT,2025-10-03 00:00:00,28152953.10452
ASTERUSDT,2025-10-06 00:00:00,233056793.14155
WALUSDT,2025-10-10 00:00:00,139036622.04006
EULUSDT,2025-10-13 00:00:00,35701313.44924
ENSOUSDT,2025-10-14 00:00:00,149247080.71609
YBUSDT,2025-10-15 00:00:00,155873272.98518
ZBTUSDT,2025-10-17 00:00:00,107301609.04075
TURTLEUSDT,2025-10-22 00:00:00,69171464.35394
GIGGLEUSDT,2025-10-25 00:00:00,194513433.36619
FUSDT,2025-10-25 00:00:00,17547852.75335
KITEUSDT,2025-11-03 00:00:00,164800584.2961
MMTUSDT,2025-11-04 00:00:00,931122562.16021
SAPIENUSDT,2025-11-06 00:00:00,308234438.90697
ALLOUSDT,2025-11-11 00:00:00,96112301.04935
BANKUSDT,2025-11-13 00:00:00,38801521.11098
METUSDT,2025-11-13 00:00:00,14284621.20463
ATUSDT,2025-11-27 00:00:00,46126526.24969
KGSTUSDT,2025-12-24 00:00:00,4163670.15128
BREVUSDT,2026-01-06 00:00:00,63421449.07847
ZKPUSDT,2026-01-07 00:00:00,46235614.42916
UUSDT,2026-01-13 00:00:00,23180141.0166
FRAXUSDT,2026-01-15 00:00:00,36388241.80153
FOGOUSDT,2026-01-15 00:00:00,186498953.00735
RLUSDUSDT,2026-01-22 00:00:00,3754517.5452
SENTUSDT,2026-01-22 00:00:00,113662472.81607
ZAMAUSDT,2026-02-02 00:00:00,63352349.96345
ESPUSDT,2026-02-12 00:00:00,37452377.20555
MANTRAUSDT,2026-03-04 00:00:00,77804406.75455
ROBOUSDT,2026-03-04 00:00:00,19410478.71225
OPNUSDT,2026-03-05 00:00:00,124376858.58618
NIGHTUSDT,2026-03-11 00:00:00,23114236.74065
CFGUSDT,2026-03-16 00:00:00,31427567.47554
KATUSDT,2026-03-18 00:00:00,26479988.78895
XAUTUSDT,2026-03-26 00:00:00,11599391.210382
USDSUSDT,2026-04-09 00:00:00,2551753.5577
CHIPUSDT,2026-04-21 00:00:00,40987208.14422
MEGAUSDT,2026-04-30 00:00:00,82765750.25757
AIGENSYNUSDT,2026-05-14 00:00:00,21511232.4082
GENIUSUSDT,2026-05-22 00:00:00,35258436.41761
OPGUSDT,2026-05-22 00:00:00,9380870.94118
